match_id,agent_module,opponent_module,agent_went_first,outcome,winner_index,agent_index,reason,n_actions,aborted
9,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,159,False
10,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,1,148,False
20,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,1,101,False
43,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,3,30,False
52,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,224,False
54,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,230,False
72,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,236,False
77,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,112,False
80,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,2,231,False
82,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,231,False
95,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,238,False
121,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,1,156,False
132,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,212,False
133,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,2,198,False
139,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,95,False
148,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,1,148,False
151,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,230,False
154,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,158,False
156,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,3,82,False
158,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,1,252,False
161,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,2,234,False
162,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,2,161,False
172,agents.heuristic_v2_agent,agents.random_agent,True,loss,1,0,2,192,False
185,agents.heuristic_v2_agent,agents.random_agent,False,loss,0,1,1,155,False
